"Route","Year","Publication Type","york","Open Access","Number of Publications"
"other","2017","article","FALSE","Gold",234
"TA","2017","article","FALSE","Gold",0
"YOAF","2017","article","FALSE","Gold",9
"other","2018","article","FALSE","Gold",254
"TA","2018","article","FALSE","Gold",0
"YOAF","2018","article","FALSE","Gold",13
"other","2019","article","FALSE","Gold",317
"TA","2019","article","FALSE","Gold",0
"YOAF","2019","article","FALSE","Gold",18
"other","2020","article","FALSE","Gold",403
"TA","2020","article","FALSE","Gold",1
"YOAF","2020","article","FALSE","Gold",6
"other","2021","article","FALSE","Gold",481
"TA","2021","article","FALSE","Gold",0
"YOAF","2021","article","FALSE","Gold",17
"other","2022","article","FALSE","Gold",460
"TA","2022","article","FALSE","Gold",3
"YOAF","2022","article","FALSE","Gold",13
"other","2017","book","FALSE","Gold",0
"TA","2017","book","FALSE","Gold",0
"YOAF","2017","book","FALSE","Gold",0
"other","2018","book","FALSE","Gold",0
"TA","2018","book","FALSE","Gold",0
"YOAF","2018","book","FALSE","Gold",0
"other","2019","book","FALSE","Gold",0
"TA","2019","book","FALSE","Gold",0
"YOAF","2019","book","FALSE","Gold",0
"other","2020","book","FALSE","Gold",0
"TA","2020","book","FALSE","Gold",0
"YOAF","2020","book","FALSE","Gold",0
"other","2021","book","FALSE","Gold",0
"TA","2021","book","FALSE","Gold",0
"YOAF","2021","book","FALSE","Gold",0
"other","2022","book","FALSE","Gold",0
"TA","2022","book","FALSE","Gold",0
"YOAF","2022","book","FALSE","Gold",0
"other","2017","book chapter","FALSE","Gold",0
"TA","2017","book chapter","FALSE","Gold",0
"YOAF","2017","book chapter","FALSE","Gold",0
"other","2018","book chapter","FALSE","Gold",0
"TA","2018","book chapter","FALSE","Gold",0
"YOAF","2018","book chapter","FALSE","Gold",0
"other","2019","book chapter","FALSE","Gold",1
"TA","2019","book chapter","FALSE","Gold",0
"YOAF","2019","book chapter","FALSE","Gold",0
"other","2020","book chapter","FALSE","Gold",0
"TA","2020","book chapter","FALSE","Gold",0
"YOAF","2020","book chapter","FALSE","Gold",0
"other","2021","book chapter","FALSE","Gold",0
"TA","2021","book chapter","FALSE","Gold",0
"YOAF","2021","book chapter","FALSE","Gold",0
"other","2022","book chapter","FALSE","Gold",0
"TA","2022","book chapter","FALSE","Gold",0
"YOAF","2022","book chapter","FALSE","Gold",0
"other","2017","conference paper","FALSE","Gold",37
"TA","2017","conference paper","FALSE","Gold",0
"YOAF","2017","conference paper","FALSE","Gold",0
"other","2018","conference paper","FALSE","Gold",11
"TA","2018","conference paper","FALSE","Gold",0
"YOAF","2018","conference paper","FALSE","Gold",0
"other","2019","conference paper","FALSE","Gold",0
"TA","2019","conference paper","FALSE","Gold",0
"YOAF","2019","conference paper","FALSE","Gold",0
"other","2020","conference paper","FALSE","Gold",5
"TA","2020","conference paper","FALSE","Gold",0
"YOAF","2020","conference paper","FALSE","Gold",0
"other","2021","conference paper","FALSE","Gold",2
"TA","2021","conference paper","FALSE","Gold",0
"YOAF","2021","conference paper","FALSE","Gold",0
"other","2022","conference paper","FALSE","Gold",4
"TA","2022","conference paper","FALSE","Gold",0
"YOAF","2022","conference paper","FALSE","Gold",0
"other","2017","data paper","FALSE","Gold",0
"TA","2017","data paper","FALSE","Gold",0
"YOAF","2017","data paper","FALSE","Gold",0
"other","2018","data paper","FALSE","Gold",0
"TA","2018","data paper","FALSE","Gold",0
"YOAF","2018","data paper","FALSE","Gold",0
"other","2019","data paper","FALSE","Gold",3
"TA","2019","data paper","FALSE","Gold",0
"YOAF","2019","data paper","FALSE","Gold",0
"other","2020","data paper","FALSE","Gold",0
"TA","2020","data paper","FALSE","Gold",0
"YOAF","2020","data paper","FALSE","Gold",0
"other","2021","data paper","FALSE","Gold",4
"TA","2021","data paper","FALSE","Gold",0
"YOAF","2021","data paper","FALSE","Gold",0
"other","2022","data paper","FALSE","Gold",5
"TA","2022","data paper","FALSE","Gold",0
"YOAF","2022","data paper","FALSE","Gold",0
"other","2017","editorial","FALSE","Gold",4
"TA","2017","editorial","FALSE","Gold",0
"YOAF","2017","editorial","FALSE","Gold",0
"other","2018","editorial","FALSE","Gold",2
